track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
SONG_75,Mardy Bum,Arctic Monkeys,https://p.scdn.co/mp3-preview/4964cbac745e7e8ef3968b684ba291e8c756c579?cid=774b29d4f13844c495f206cafdad9c86,0gNQKJ5uTPeuxF2iVJAUAc,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,175426,0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,4
SONG_95,Fluorescent Adolescent,Arctic Monkeys,https://p.scdn.co/mp3-preview/cb8560b45aa0d4028e94a2648686c460641074d0?cid=774b29d4f13844c495f206cafdad9c86,02Y78WneC8bUaKWouKl00v,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Pop,2007,177534,0.647,0.818,6,-5.222,0,0.0291,0.00196,3.04e-05,0.177,0.813,112.109,4
SONG_96,Buddy Holly,Weezer,https://p.scdn.co/mp3-preview/8e4fe24146a0acac840e9f3ed45f92b684bd96bf?cid=774b29d4f13844c495f206cafdad9c86,0gOyllwzM7IvfuYZ903zNv,"rock, alternative, indie, alternative_rock, indie_rock, 90s, american",Rock,1994,159226,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4
SONG_99,Fortunate Son,Creedence Clearwater Revival,https://p.scdn.co/mp3-preview/3136857b0f683af80257d8641b8e2680ddd8f2ce?cid=774b29d4f13844c495f206cafdad9c86,02W3Xt0zd4cXTQ923Cx9Q3,"rock, classic_rock, 60s",Rock,2005,138052,0.631,0.761,0,-3.905,1,0.0381,0.0562,0.26,0.201,0.45,132.498,4
SONG_113,Violet Hill,Coldplay,https://p.scdn.co/mp3-preview/d1203aa08085a764cc2d494e48f6aaf58b244e59?cid=774b29d4f13844c495f206cafdad9c86,0aeknkZO0MWCdgwlNMypib,"rock, alternative, indie, pop, alternative_rock, british, 00s, britpop",Rock,2008,221306,0.332,0.587,1,-7.905,0,0.0362,0.0571,0.00162,0.0864,0.109,76.051,4
SONG_124,Hey There Delilah,Plain White T's,https://p.scdn.co/mp3-preview/fbac064e4b0b969269bb8f0120b12ee588bf50bf?cid=774b29d4f13844c495f206cafdad9c86,03U2Ypm7VifnymUMQC0CUh,"rock, alternative, indie, pop, indie_rock, acoustic, emo, love, beautiful, mellow",Rock,2006,247060,0.451,0.261,2,-12.467,1,0.029,0.981,3.21e-06,0.659,0.372,100.46,4
SONG_130,Dumb,Nirvana,https://p.scdn.co/mp3-preview/b8463d9fe1e8540fd6d673d05d8e8de6951d350d?cid=774b29d4f13844c495f206cafdad9c86,13noTim30TG19L0rg9fa9k,"rock, alternative, alternative_rock, 90s, grunge",Rock,1993,149706,0.682,0.405,6,-11.86,1,0.028,0.151,0.387,0.27,0.846,113.719,4
SONG_136,15 Step,Radiohead,https://p.scdn.co/mp3-preview/18f2a704083cc69612e54165b0afeba18aa9462e?cid=774b29d4f13844c495f206cafdad9c86,6dsq7Nt5mIFzvm5kIYNORy,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, britpop",Rock,2007,237293,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,4
SONG_143,Aerials,System of a Down,https://p.scdn.co/mp3-preview/17c08cf40c2f21a4b3e65fd092749a3e35e59b68?cid=774b29d4f13844c495f206cafdad9c86,0m9h2rgCymn7kreQoNKwD8,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,2011,234826,0.406,0.924,0,-3.384,0,0.0516,0.00146,0.0422,0.0774,0.254,79.957,4
SONG_154,My Immortal,Evanescence,https://p.scdn.co/mp3-preview/1d1e3814d3256397f6e6702e7a92e11fb734b519?cid=774b29d4f13844c495f206cafdad9c86,0ftNFLfm5CaVQtJCK0w2L5,"rock, alternative, female_vocalists, metal, alternative_rock, piano, love, beautiful, gothic_metal, gothic",Rock,2014,270266,0.364,0.285,9,-9.927,1,0.032,0.75,5.69e-06,0.1,0.0707,149.552,4
SONG_176,Lisztomania,Phoenix,https://p.scdn.co/mp3-preview/6675be62d15f4555cc4f8f622897999229a1e965?cid=774b29d4f13844c495f206cafdad9c86,2tlV0DuPxMnJntkrmzjZEq,"rock, electronic, alternative, indie, pop, indie_rock, dance, indie_pop, french",,2009,241640,0.645,0.797,0,-6.434,1,0.039,0.0359,0.00589,0.496,0.335,97.524,4
SONG_180,Drain You,Nirvana,https://p.scdn.co/mp3-preview/da7756514debde7f7918c54b7b30628de8a3f88f?cid=774b29d4f13844c495f206cafdad9c86,0bTLGlCqwZXwJGWGE2Dywg,"rock, alternative, alternative_rock, 90s, grunge",Rock,1991,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
SONG_181,Bulls on Parade,Rage Against the Machine,https://p.scdn.co/mp3-preview/9a0a212b91ae9561473158a58852f10d91a32440?cid=774b29d4f13844c495f206cafdad9c86,0tZ3mElWcr74OOhKEiNz1x,"rock, alternative, metal, alternative_rock, hard_rock, 90s",Rock,1996,229466,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
SONG_191,Plug In Baby,Muse,https://p.scdn.co/mp3-preview/61726c38fc9e4b262bdc5ef805dcb844b58b827e?cid=774b29d4f13844c495f206cafdad9c86,0wJ9toDPSurZw7IGZVk566,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",Rock,2001,220480,0.406,0.953,2,-5.74,1,0.0473,6.48e-06,0.000407,0.0911,0.307,136.007,4
SONG_210,All You Need Is Love,The Beatles,https://p.scdn.co/mp3-preview/876bc3e961a7834b620b813710d5d0894e5b2ae1?cid=774b29d4f13844c495f206cafdad9c86,0BWoyGLDhDwvFtTOntc6ko,"rock, pop, classic_rock, british, psychedelic, 60s, oldies, love",,2006,220045,0.372,0.532,7,-7.968,1,0.0314,0.232,0.0,0.0951,0.727,102.627,4
SONG_211,A Certain Romance,Arctic Monkeys,https://p.scdn.co/mp3-preview/86b717f29a75399918886faa8c896bacd5e6d3fb?cid=774b29d4f13844c495f206cafdad9c86,0eDQj41kzBhMKQIkTt6OJR,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",,2006,331200,0.455,0.881,11,-5.587,1,0.0401,0.000566,6.06e-05,0.11,0.201,137.949,4
SONG_238,The Passenger,Iggy Pop,https://p.scdn.co/mp3-preview/3608c8247926540512c6588e26e6f36ab251e24f?cid=774b29d4f13844c495f206cafdad9c86,07kRL6U0zXUWqcNjv1ETgl,"rock, alternative, classic_rock, punk, punk_rock, 70s",,2009,285442,0.482,0.754,4,-11.398,0,0.0681,0.323,0.0,0.364,0.36,68.023,4
SONG_239,Ooh La,The Kooks,https://p.scdn.co/mp3-preview/74df4290711741a30d54a02929a93b0303994731?cid=774b29d4f13844c495f206cafdad9c86,0QiQwayYRa0WC6u4mQJtDI,"rock, alternative, indie, indie_rock, british, britpop",Rock,2006,208973,0.543,0.873,10,-5.159,0,0.0803,0.0165,9.45e-05,0.15,0.786,150.891,4
SONG_240,There Is a Light That Never Goes Out,The Smiths,https://p.scdn.co/mp3-preview/839d38dbf04ca2ff858eb03d0442358ffb393adb?cid=774b29d4f13844c495f206cafdad9c86,0AF5UIZeHvvnXI1phyhyZ9,"rock, alternative, indie, pop, alternative_rock, indie_rock, 80s, british, new_wave, post_punk, love, beautiful, britpop",Rock,2008,243573,0.522,0.734,4,-6.899,1,0.0269,0.0425,0.0,0.172,0.864,135.991,4
SONG_248,Riot Van,Arctic Monkeys,https://p.scdn.co/mp3-preview/274c5f7aa66ca4fed06336de8238975ace0459d3?cid=774b29d4f13844c495f206cafdad9c86,0RN9h0ojhQWtAD6O8X7Zzp,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,134933,0.593,0.333,9,-14.342,1,0.046,0.358,0.0,0.245,0.258,103.537,4
SONG_250,From the Ritz to the Rubble,Arctic Monkeys,https://p.scdn.co/mp3-preview/adb4300b31fc1f1e9e352d0af723fc2d3628e3ec?cid=774b29d4f13844c495f206cafdad9c86,1quwqNTrkIETU55QYjVO2v,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,195426,0.215,0.876,9,-5.327,0,0.0429,0.00165,0.0,0.313,0.715,188.89,4
SONG_255,Teenagers,My Chemical Romance,https://p.scdn.co/mp3-preview/7e780e073cb38e63e13544cd28a80d1eec88a49c?cid=774b29d4f13844c495f206cafdad9c86,0FsDAsYbpEOqJWq69oDTGH,"rock, alternative, alternative_rock, punk, punk_rock, emo",Rock,2004,161920,0.458,0.859,4,-3.173,1,0.0607,0.0595,0.0,0.189,0.846,110.734,4
SONG_257,All Star,Smash Mouth,https://p.scdn.co/mp3-preview/24a26524cd1e364126bb9680ae4b2d3792946cd6?cid=774b29d4f13844c495f206cafdad9c86,0DtHpSWynP5QBx8EPPSG3c,"rock, alternative, pop, alternative_rock, soundtrack, 90s, pop_rock, ska",,2000,198933,0.728,0.883,11,-6.097,1,0.0324,0.062,0.0,0.0563,0.84,104.022,4
SONG_261,Faust Arp,Radiohead,https://p.scdn.co/mp3-preview/7f8e0f1c60eaa0817e07f48d5954887ca148ef37?cid=774b29d4f13844c495f206cafdad9c86,5SdmtFbNOD7Qej6jFCHkOM,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, acoustic, beautiful",Rock,2007,129680,0.338,0.289,0,-13.479,1,0.0366,0.834,0.344,0.0966,0.226,121.857,3
SONG_266,Climbing Up the Walls,Radiohead,https://p.scdn.co/mp3-preview/5b1e45987b96b274c80e52c54572b16c8f8c901e?cid=774b29d4f13844c495f206cafdad9c86,040qcdVdtU2ruOwmG5z0lA,"rock, electronic, alternative, indie, alternative_rock, experimental, british, chillout, 90s, beautiful, britpop",Rock,1996,285200,0.172,0.655,11,-7.476,0,0.042,0.0971,0.128,0.195,0.221,78.653,4
SONG_270,Still Take You Home,Arctic Monkeys,https://p.scdn.co/mp3-preview/e692ef473cc4b5d9066fc81ac9eb9edd575ac600?cid=774b29d4f13844c495f206cafdad9c86,28J7s6ylqLYzBUTBSUyEjm,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,173666,0.599,0.946,8,-4.192,1,0.0378,0.000669,0.0,0.0973,0.653,108.934,4
SONG_271,Go Your Own Way,Fleetwood Mac,https://p.scdn.co/mp3-preview/b4b050fb5f906aba4e08064c453d3344ea68e583?cid=774b29d4f13844c495f206cafdad9c86,0FeCO85RKW8fDRytwXof2x,"rock, pop, classic_rock, 70s",Rock,1977,218400,0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,4
SONG_272,Heads Will Roll,Yeah Yeah Yeahs,https://p.scdn.co/mp3-preview/e7f8bdea4ffe9b2202a78c97d6dd84d4d9c30dc5?cid=774b29d4f13844c495f206cafdad9c86,0eJ6LE2jOwGdO6QWVraNLi,"rock, electronic, alternative, indie, female_vocalists, indie_rock, dance, 00s",Rock,2009,222440,0.563,0.903,8,-4.458,0,0.0293,0.000178,0.123,0.302,0.766,132.022,4
SONG_274,Something Good Can Work,Two Door Cinema Club,https://p.scdn.co/mp3-preview/7717f734cc51035b1d1fd7664acaabf54ce5beaa?cid=774b29d4f13844c495f206cafdad9c86,0IvfFrZGN0xgUwvm79bzc9,"rock, electronic, alternative, indie, pop, indie_rock, british, indie_pop, britpop",Rock,2010,164200,0.647,0.83,0,-5.025,1,0.0342,0.00522,0.000852,0.17,0.73,119.91,4
SONG_276,Electioneering,Radiohead,https://p.scdn.co/mp3-preview/f45691770c6e5fb13b846fbc507dd7341eac1025?cid=774b29d4f13844c495f206cafdad9c86,0c01OEq96BwjoyH8Tn67Ff,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",Reggae,1996,230626,0.185,0.889,9,-5.491,0,0.0743,0.00267,0.0981,0.291,0.331,77.555,4
SONG_278,On Melancholy Hill,Gorillaz,https://p.scdn.co/mp3-preview/cd7991e7076d0410677032dd9093a9cd712b69fd?cid=774b29d4f13844c495f206cafdad9c86,0Gn4JEW3u7Hu2EpuRmQETL,"rock, electronic, alternative, indie, pop, british, beautiful",,2010,233866,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,4
SONG_286,Strawberry Swing,Coldplay,https://p.scdn.co/mp3-preview/5c8971b01e17419868278ab95b2847a8db93e165?cid=774b29d4f13844c495f206cafdad9c86,06inBM2SUiyg3nGDC2KvUG,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, 00s, britpop, mellow",Rock,2009,249666,0.195,0.669,1,-10.457,1,0.0601,0.00804,0.788,0.238,0.428,173.12,4
SONG_287,Kids With Guns,Gorillaz,https://p.scdn.co/mp3-preview/fd854bcd8723cabba5897e6fc1f481513e95a161?cid=774b29d4f13844c495f206cafdad9c86,0eEgMbSzOHmkOeVuNC3E0k,"rock, electronic, alternative, indie, pop, alternative_rock, british, hip_hop, trip_hop",Rock,2005,225773,0.838,0.475,4,-5.505,0,0.036,0.000417,0.714,0.226,0.711,106.217,4
SONG_289,How to Disappear Completely,Radiohead,https://p.scdn.co/mp3-preview/a7631fa65da16818cf24822b44ff1be7d9cf30f6?cid=774b29d4f13844c495f206cafdad9c86,03KRkF62P0whzOVY8v3KGj,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, beautiful, 00s, mellow",Rock,2000,356333,0.168,0.302,6,-11.645,0,0.0344,0.315,0.79,0.11,0.205,102.041,4
SONG_293,No Cars Go,Arcade Fire,https://p.scdn.co/mp3-preview/8e6a84174cc98edec0b02f4cea9f319c4f41a139?cid=774b29d4f13844c495f206cafdad9c86,0nev4XL4Y6hrDsRpK4ERcU,"rock, alternative, indie, alternative_rock, indie_rock, beautiful",,2007,343626,0.333,0.75,1,-6.942,1,0.0371,0.00072,0.224,0.12,0.276,135.296,4
SONG_295,Hey You,Pink Floyd,https://p.scdn.co/mp3-preview/a03fcdbf2223e1fe78f886770b0797553b924fc6?cid=774b29d4f13844c495f206cafdad9c86,1gWy26Xb0oxHd3RSktPaFh,"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Rap,2011,280706,0.589,0.29,0,-15.021,1,0.0293,0.271,0.00448,0.139,0.183,112.434,4
SONG_296,Is This It,The Strokes,https://p.scdn.co/mp3-preview/74e77724b58f3a516ebba5b6b1589bc9cbc09905?cid=774b29d4f13844c495f206cafdad9c86,0jBE7Fn78EAvmIs3dCd6GO,"rock, alternative, indie, alternative_rock, indie_rock, american, 00s",,2001,151333,0.667,0.692,5,-8.361,1,0.0285,0.147,3.75e-05,0.349,0.846,96.022,4
SONG_297,New Born,Muse,https://p.scdn.co/mp3-preview/77fda0e5664dcd557fc26576fcb4bf538558e25e?cid=774b29d4f13844c495f206cafdad9c86,2lJBnmPHVwPUuvKlZxAp6T,"rock, alternative, indie, alternative_rock, progressive_rock, british",Rock,2001,365480,0.316,0.918,4,-7.333,1,0.0932,0.00354,0.14,0.112,0.148,152.007,4
SONG_307,Icky Thump,The White Stripes,https://p.scdn.co/mp3-preview/75db074d29aa654c5a3211ccef965511a99be5c0?cid=774b29d4f13844c495f206cafdad9c86,09QZAEmdbq28OaNyqTOEvY,"rock, alternative, indie, alternative_rock, indie_rock, 00s, blues_rock",Rock,2007,254533,0.424,0.632,9,-7.243,1,0.0922,0.021,0.0117,0.0545,0.356,97.694,4
SONG_324,Revelry,Kings of Leon,https://p.scdn.co/mp3-preview/1c2604b381e6106ca4a180900a98fb5fce20006c?cid=774b29d4f13844c495f206cafdad9c86,039Q3UlFQ6kavVIZHpO4mL,"rock, alternative, indie, alternative_rock, indie_rock, male_vocalists, beautiful, 00s, mellow",Rock,2008,201733,0.437,0.748,4,-6.593,1,0.0689,0.196,0.000328,0.158,0.383,149.834,4
SONG_336,Ziggy Stardust,David Bowie,https://p.scdn.co/mp3-preview/7d9f79af0556952cd2cc2bc9077c51771e6f3a8a?cid=774b29d4f13844c495f206cafdad9c86,0NwGSYFvpiQ0ydLY3jRWSA,"rock, classic_rock, british, 70s",Rock,2009,194653,0.408,0.646,7,-7.181,1,0.0435,0.0714,0.0,0.176,0.565,80.148,4
SONG_337,Tears Don't Fall,Bullet for My Valentine,https://p.scdn.co/mp3-preview/4cc4ca5c7ecb43006ccd0f7c50c8520e70f12fef?cid=774b29d4f13844c495f206cafdad9c86,0mJIGr6BPu9bFYT1ZVI2NV,"rock, metal, hardcore, metalcore, emo, screamo",,2006,279066,0.363,0.92,7,-3.522,0,0.117,0.00124,0.0,0.0813,0.331,162.167,4
SONG_339,Cape Cod Kwassa Kwassa,Vampire Weekend,https://p.scdn.co/mp3-preview/3cd5480f5351b5e7a07c898c37fa456fda75f7c3?cid=774b29d4f13844c495f206cafdad9c86,1MVWDP5ycK3n3ZRdyGrf31,"rock, alternative, indie, pop, indie_rock, american, indie_pop, 00s",Rock,2012,211840,0.843,0.456,2,-10.213,1,0.0407,0.837,0.0312,0.239,0.799,105.031,4
SONG_341,ATWA,System of a Down,https://p.scdn.co/mp3-preview/9746e630b909c775cf024db2e2af52cec8f83d79?cid=774b29d4f13844c495f206cafdad9c86,1tFCPpKhLU97qRnEYLaR62,"rock, alternative, metal, alternative_rock, hard_rock, heavy_metal, nu_metal",,2001,176200,0.376,0.787,5,-4.731,0,0.0395,0.00357,0.0,0.552,0.372,87.105,4
SONG_342,Fitter Happier,Radiohead,https://p.scdn.co/mp3-preview/750e3f7cde8f913545248c26cb93f44210b09186?cid=774b29d4f13844c495f206cafdad9c86,53aFGAl0Vebwp2bo8wtdWR,"rock, electronic, alternative, indie, alternative_rock, experimental, british, 90s, britpop",Reggae,1997,117333,0.432,0.391,9,-14.99,1,0.242,0.813,0.00363,0.155,0.744,123.538,4
SONG_348,Neighborhood #1 (Tunnels),Arcade Fire,https://p.scdn.co/mp3-preview/5864c6774e3b465bdd73acc807b15bd830fdbbdb?cid=774b29d4f13844c495f206cafdad9c86,1juKLNmTdLlhlIDd3lr2p3,"rock, alternative, indie, alternative_rock, indie_rock, piano, indie_pop, beautiful, 00s",Rock,2005,288333,0.285,0.732,0,-5.544,1,0.0323,0.078,0.0138,0.327,0.237,123.38,4
SONG_354,The Tourist,Radiohead,https://p.scdn.co/mp3-preview/bc818dc33f263a847b7cdbc71e6c7834fe8369d9?cid=774b29d4f13844c495f206cafdad9c86,1VL7EjBCJByEZeBVXJnUg6,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",Reggae,1997,326533,0.241,0.295,4,-8.571,1,0.0319,0.224,0.0328,0.11,0.0398,114.759,5
SONG_359,California Dreamin',The Mamas & the Papas,https://p.scdn.co/mp3-preview/448b2f6fd0c02a838ab53b43968e588cd91fd157?cid=774b29d4f13844c495f206cafdad9c86,00RNV4yiUmdZL54rQ6Xf2M,"rock, pop, classic_rock, folk, 60s, oldies",,2011,148666,0.447,0.902,0,-8.133,0,0.0768,0.0173,0.00179,0.288,0.379,119.647,4
SONG_360,Weird Fishes/Arpeggi,Radiohead,https://p.scdn.co/mp3-preview/eb168dd71ed9050c65254d04b3825e880fd0845f?cid=774b29d4f13844c495f206cafdad9c86,0yV2fk1ZgO45ayns6AWsm0,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, beautiful, 00s",,2013,317379,0.53,0.561,11,-9.587,0,0.0379,0.783,0.804,0.0812,0.22,153.015,4
SONG_366,Kid A,Radiohead,https://p.scdn.co/mp3-preview/d45bfcd7c203a6ea7c6b4986cef9d8e5b107817f?cid=774b29d4f13844c495f206cafdad9c86,1qFfsUxth2V4yXg8YcRblp,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, chillout, post_rock, 00s",,2000,284506,0.63,0.429,5,-15.54,1,0.0356,0.261,0.85,0.309,0.168,112.93,4
SONG_375,Scars,Papa Roach,https://p.scdn.co/mp3-preview/74964b08825100ce9a6339dde3873c44eabc4cb4?cid=774b29d4f13844c495f206cafdad9c86,0cortYbAESnFAy5pludfru,"rock, alternative, metal, alternative_rock, hard_rock, emo, nu_metal",Rock,2010,208213,0.462,0.922,11,-3.827,1,0.0498,0.0851,0.0,0.233,0.432,89.888,4
SONG_393,Mr. Blue Sky,Electric Light Orchestra,https://p.scdn.co/mp3-preview/bb98f258a01d52c9b1c86ae82c67132bd52f29af?cid=774b29d4f13844c495f206cafdad9c86,02KyAft40Cnid923l8t3ki,"rock, pop, classic_rock, progressive_rock, british, 70s",Rock,2006,304440,0.47,0.375,10,-10.876,1,0.0283,0.256,0.0,0.361,0.418,89.271,4
SONG_401,Red Light Indicates Doors Are Secured,Arctic Monkeys,https://p.scdn.co/mp3-preview/bf1b968fda54696edab184a09b26c5cc1ae58090?cid=774b29d4f13844c495f206cafdad9c86,0x5Ql77PzlojCaiiOhW9mh,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,145626,0.618,0.856,11,-4.842,0,0.0302,0.00325,0.0,0.149,0.907,110.678,4
SONG_402,Coffee & TV,Blur,https://p.scdn.co/mp3-preview/91936c94d51d132cd0aea95903130de0321e8af7?cid=774b29d4f13844c495f206cafdad9c86,0HFBn4Grwd2AHZk3H1ntNo,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",Rock,1999,358693,0.738,0.786,2,-9.07,1,0.0363,0.0483,0.294,0.101,0.718,121.609,4
SONG_417,Blue Orchid,The White Stripes,https://p.scdn.co/mp3-preview/21e89f3b9cc649ccd9cfe8093bc337ea9d530c5b?cid=774b29d4f13844c495f206cafdad9c86,1ENdtW2odmA39CxxVqJOCG,"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,2005,160266,0.478,0.657,10,-8.523,0,0.323,0.0778,1.85e-05,0.121,0.611,151.229,4
SONG_420,Rabbit Heart (Raise It Up),Florence + the Machine,https://p.scdn.co/mp3-preview/983e2d09fd48fc92d29b45193c3a8f950a7ec9e2?cid=774b29d4f13844c495f206cafdad9c86,0AXtUwPpFDkNLcOzNZH4ir,"rock, alternative, indie, pop, female_vocalists, british, indie_pop",Rock,2010,232360,0.625,0.858,9,-3.483,0,0.0462,0.092,1.36e-06,0.266,0.418,116.98,4
SONG_425,Dashboard,Modest Mouse,https://p.scdn.co/mp3-preview/e25abab538f266580f7c6156e5064dbdb069a435?cid=774b29d4f13844c495f206cafdad9c86,0dxj1d6FdNZKEDfsvLK4ya,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop",Rock,2007,247280,0.647,0.903,11,-5.012,0,0.0374,0.0101,4.22e-05,0.253,0.96,135.921,4
SONG_426,"Of Moons, Birds & Monsters",MGMT,https://p.scdn.co/mp3-preview/8a2351ec07e30a027a42de8e9dc6c38102d87f03?cid=774b29d4f13844c495f206cafdad9c86,0FpnCmQMQLRm9jT6LsGIc8,"rock, electronic, alternative, indie, indie_rock, psychedelic, indie_pop, psychedelic_rock",,2007,286720,0.598,0.899,1,-3.861,0,0.0424,0.0218,0.0137,0.0814,0.403,124.061,4
SONG_428,Planet Telex,Radiohead,https://p.scdn.co/mp3-preview/4635aeb3172535b2b702d1f0bd9c2c24210a1d40?cid=774b29d4f13844c495f206cafdad9c86,05evePUsIT1cmIURp1hgu6,"rock, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",Rock,1995,259200,0.429,0.88,9,-8.013,0,0.109,0.0206,0.698,0.607,0.255,148.965,3
